"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0xd6d4a55d97f82a3aba087f8ece2fe4dba2b985a1854daa3d4ea6a6315b73404e","17449522","1657584032","2022-07-12 00:00:32","0xaecf76a01fb102a34b5497fed433531b260951f8","0xf89d7b9c864f589bbf53a82105107622b35eaa40","483.138613","Transfer"
"0x8b3e25e581427e12243e1b423c258874026fcfa99a119e3cd81c9d3bd6a04f3c","17449527","1657584032","2022-07-12 00:00:32","0x0415094f5352896f1cfeaf74bfe0dfa247336bd9","0x3d6ba331e3d9702c5e8a8d254e5d8a285f223aba","500","Create Increase Position"
"0x1fa7430f81128919a22aae8eee5f2dab7cb834beffdf8924e03f6cd2da34f6f3","17449531","1657584032","2022-07-12 00:00:32","0x3d6ba331e3d9702c5e8a8d254e5d8a285f223aba","0x489ee077994b6658eafa855c308275ead8097c4a","500","Set Prices With Bits And Execute"
"0xa17c4605bb16b9ad1e9fc3304b08a4e93e09e58e14afc6d0924081e909d7e447","17449532","1657584032","2022-07-12 00:00:32","0x8165c70b01b7807351ef0c5ffd3ef010cabc16fb","0x1028c8ec2eeae20006bb8e618ecc52f897d05416","10.01922","Swap Exact Tokens For Tokens"
"0xc6f1efe9957cbac71b2aad8e480ce498764ff5cdac48cd0f247dea768ea01747","17449533","1657584032","2022-07-12 00:00:32","0x960ea3e3c7fb317332d990873d354e18d7645590","0xdbfbce49cab2592ac74c0618ade83020a8bec045","3289.195623","Exchange"
"0x6147ca2529910742ab4f273bcfe54a6de37545363231e3beba5f0c208c644554","17449547","1657584099","2022-07-12 00:01:39","0x1028c8ec2eeae20006bb8e618ecc52f897d05416","0xcb0e5bfa72bbb4d16ab5aa0c60601c438f04b4ad","10","Add Liquidity ETH"
"0x44dd5a3a726c92f8ed4fbeee828d14a79ad3af7e0b5a497c6bb475c2d7163697","17449565","1657584135","2022-07-12 00:02:15","0x170b6ee0387762acb551310e817febe5f98157bd","0xf97c707024ef0dd3e77a0824555a46b622bfb500","1000","Add_liquidity"
"0x44dd5a3a726c92f8ed4fbeee828d14a79ad3af7e0b5a497c6bb475c2d7163697","17449565","1657584135","2022-07-12 00:02:15","0xf97c707024ef0dd3e77a0824555a46b622bfb500","0x960ea3e3c7fb317332d990873d354e18d7645590","1000","Add_liquidity"
"0x229e7863c19f1e185e7e452b4c537d25b734c07107ecc6d11f4a3147260a34c9","17449574","1657584135","2022-07-12 00:02:15","0x27ec0fcf5bf0899104c0dda55d511280a91c1f32","0xcb0e5bfa72bbb4d16ab5aa0c60601c438f04b4ad","1.099999","Swap Exact Tokens For ETH"
"0xdf624b4e2fa72fe9a0d9b2e19bf8c89641a6ebb768b10f5031cdb7d9c48095b2","17449576","1657584135","2022-07-12 00:02:15","0x5c45aced43e79a1f05e3a616a6ddd5a80c49202c","0xd7f1dd5d49206349cae8b585fcb0ce3d96f1696f","18.368348","-"
